creditcard,zipcode,age,gender,salary
0,5557783527541459,55335,58,Male,8700
1,5418686973265201,55255,36,Female,9700
2,5527060358825468,55559,32,Female,6800
3,5312916958971375,55700,58,Male,4700
4,5541858987662877,55925,52,Male,5700
5,5155271703366251,55338,38,Female,7100
6,5485337334153888,55840,38,Male,6000
7,5293804792403628,55772,32,Female,7000
8,5275938856549264,55641,19,Male,100
9,5303041772852809,55861,82,Male,4000
10,5193369123683240,55153,64,Female,8300
11,5203507204290025,55876,22,Male,7600
12,5262016395912213,55610,84,Male,6700
13,5134202079934311,55736,77,Female,5400
14,5445669794102040,55025,56,Male,5600
15,5296303354233579,55604,44,Female,4100
16,5501878919420143,55964,57,Male,1500
17,5217036561413487,55962,24,Female,200
18,5501801437628823,55178,46,Female,4200
19,5228511361304687,55897,80,Male,7300
20,5376932971679633,55198,56,Female,1200
21,5562888523772686,55694,94,Male,1800
22,5203626145214728,55449,87,Female,5900
23,5298613442902912,55890,95,Male,4200
24,5579717768479361,55703,75,Female,7700
25,5282506505249759,55416,58,Female,1100
26,5197268547153770,55762,60,Female,8800
27,5431376005483617,55247,35,Female,8600
28,5459713613354508,55067,18,Male,2900
29,5244601459683496,55664,55,Female,9200
30,5370780363154178,55641,42,Female,9900
31,5528212893292626,55354,73,Female,2500
32,5388156638197021,55675,59,Male,4600
33,5266470483776921,55267,89,Male,2500
34,5367214924602504,55083,48,Male,700
35,5392042355228583,55209,44,Male,3800
36,5343012307458935,55170,80,Male,9300
37,5266726582990568,55886,53,Male,3500
38,5163222677779102,55302,43,Male,8200
39,5300372206340415,55650,65,Male,8000
40,5483609154156239,55202,98,Male,7600
41,5547560199083983,55120,96,Female,9700
42,5205591949261242,55830,18,Male,2000
43,5120470152187695,55900,94,Female,1900
44,5375566678830858,55284,77,Male,6300
45,5305375828717048,55805,56,Male,7200
46,5390977137371445,55020,81,Female,4200
47,5529454535887814,55004,33,Female,6000
48,5391291226882828,55982,65,Female,9700
49,5539559418764944,55088,55,Male,10000
50,5298074885335278,55944,49,Male,5300
51,5241345838614284,55882,50,Female,3900
52,5224147000287613,55889,77,Female,6200
53,5431264098786171,55786,23,Female,700
54,5456422117438337,55361,86,Male,4200
55,5596281910032874,55502,29,Male,100
56,5332736190597978,55397,55,Female,5100
57,5589378661799922,55718,41,Male,4800
58,5434200106458517,55227,44,Male,5600
59,5549765675180348,55081,78,Male,2600
60,5519733284347464,55881,27,Male,100
61,5282906853098347,55261,21,Male,9300
62,5282977778084530,55217,41,Male,4500
63,5365958886397378,55117,19,Female,6000
64,5561783003246601,55951,51,Female,5400
65,5118248598638131,55509,85,Female,9600
66,5306548700447962,55070,60,Female,7700
67,5525417677542178,55046,29,Male,8900
68,5549202935303726,55562,58,Female,6500
69,5181093955902494,55622,46,Female,9200
70,5312169427780551,55491,62,Male,7000
71,5315431804020333,55048,77,Male,5200
72,5192390204067468,55048,89,Female,700
73,5516155027468865,55781,29,Male,2000
74,5575448352858059,55015,91,Female,800
75,5110695351142669,55605,88,Female,500
76,5401888231295157,55572,95,Male,3600
77,5364936170350924,55439,47,Female,2600
78,5479333959163920,55704,58,Male,2300
79,5325307303710590,55659,37,Female,7400
80,5517118127768153,55795,41,Male,6500
81,5172279327264371,55678,28,Male,2900
82,5227048411037703,55173,83,Female,2100
83,5268020795009723,55522,86,Male,4800
84,5505913822967496,55038,87,Female,3800
85,5303786290488177,55834,56,Female,3100
86,5282653785099932,55626,58,Male,5400
87,5347000034445859,55127,73,Female,300
88,5211997215600868,55903,21,Male,7700
89,5521594626475348,55159,75,Female,3400
90,5347202514006215,55208,47,Male,8300
91,5378803076722198,55012,90,Female,9900
92,5330109204117807,55581,20,Female,6200
93,5125765964385238,55592,95,Male,5700
94,5284663233412262,55337,59,Female,6800
95,5585190044226505,55871,34,Female,9800
96,5320920298707127,55638,33,Female,6900
97,5541485718923194,55272,34,Female,1600
98,5463827687753819,55196,69,Male,8600
99,5258512923111977,55390,36,Female,9800
100,5115297483341403,55937,73,Female,4500
101,5584476166630926,55195,38,Female,4200
102,5504095814648838,55948,60,Male,8900
103,5392018679540028,55124,69,Female,2900
104,5222484016484880,55038,45,Female,6800
105,5301927807147177,55804,64,Male,100
106,5217944727812809,55622,64,Female,6900
107,5128058083020325,55884,52,Female,400
108,5548523998835184,55305,32,Male,6600
109,5486752292528153,55340,84,Male,2300
110,5118798824885351,55332,74,Female,2300
111,5106015172236127,55852,28,Female,6500
112,5482552773234923,55273,19,Male,7800
113,5453532388618103,55392,33,Male,10000
114,5150588254864391,55965,95,Male,3600
115,5208734537355292,55925,31,Female,8600
116,5263717718748486,55402,45,Male,1400
117,5362344427214310,55803,81,Female,7100
118,5495116118396584,55596,27,Male,1200
119,5523562808347047,55767,75,Male,4600
120,5320904534282756,55883,61,Female,1400
121,5320687119760318,55585,63,Female,9500
122,5286253331607407,55433,55,Female,4200
123,5391790317917732,55560,60,Male,2700
124,5330558649679799,55313,83,Male,2900
125,5558837804452969,55518,94,Male,5000
126,5202057779043095,55026,100,Male,6700
127,5514321286806029,55850,37,Female,8700
128,5206849634669387,55824,59,Male,3200
129,5113047243495078,55446,88,Male,4500
130,5194224219587194,55041,65,Female,2700
131,5321659699482620,55811,68,Female,9700
132,5521762728952445,55937,91,Male,8200
133,5290286661285794,55048,63,Female,4800
134,5269647443057636,55437,26,Female,8500
135,5397938416201623,55196,88,Female,3300
136,5517631113835679,55933,79,Female,1200
137,5161379518621281,55041,99,Male,3500
138,5245500962563550,55494,26,Female,3500
139,5598258268491033,55022,31,Male,9100
140,5517323114653059,55246,42,Male,3000
141,5373181482288459,55686,79,Male,2600
142,5209079826597256,55364,30,Male,8200
143,5101498727321070,55757,18,Female,6600
144,5226060131335938,55439,88,Male,4400
145,5483792860441150,55508,93,Male,2300
146,5521615022615102,55604,68,Male,3600
147,5326940196311289,55678,26,Male,1200
148,5399441842980124,55932,75,Female,4000
149,5338275932765670,55574,27,Female,6300
150,5238163314068833,55839,51,Female,6200
151,5255974777644920,55235,55,Female,7100
152,5572998809261201,55964,49,Female,1800
153,5331706430213596,55134,46,Male,7100
154,5589443496828542,55679,69,Female,1300
155,5476540798029848,55948,79,Male,6100
156,5238601510452517,55296,46,Female,5600
157,5120768496805686,55317,100,Male,2200
158,5499290478343845,55337,42,Male,4100
159,5538700522015937,55060,20,Male,1800
160,5507870518416394,55114,43,Male,9700
161,5560408353121938,55904,40,Male,8400
162,5339946166907167,55349,66,Male,4800
163,5541334406525590,55697,87,Female,3800
164,5536732578073553,55167,56,Male,1100
165,5384680862435207,55851,93,Female,1400
166,5336613318145103,55612,88,Female,3400
167,5179104295013571,55176,25,Female,8100
168,5465115603528467,55716,77,Female,3000
169,5439760404555426,55581,63,Male,4300
170,5202663657008652,55943,83,Male,6800
171,5235505187070309,55635,35,Male,1100
172,5589187077985243,55812,66,Male,1200
173,5320026354804590,55185,83,Male,9500
174,5255832562806023,55866,93,Female,8900
175,5188981372876171,55776,72,Male,2000
176,5133044384683675,55910,34,Male,800
177,5441358968103059,55333,50,Male,9000
178,5102929367432594,55531,41,Male,3500
179,5232673835547806,55152,76,Male,6100
180,5228496576014695,55896,83,Female,7500
181,5200872015772626,55862,52,Female,7500
